iter,cumulative_budget,ratio_M,ratio_P,ratio_C,ratio_misclassified,ratio_mis_prune,ratio_mis_maintain
1,60,0.0,0.0,1.0,0.0,0.0,0.0
2,127,0.0,0.0,1.0,0.0,0.0,0.0
3,249,0.0,0.0,1.0,0.0,0.0,0.0
4,489,0.0,0.25,0.7499999999999999,0.0,0.0,0.0
5,890,0.0,0.4513888888888889,0.5486111111111112,0.0,0.0,0.0
6,1503,0.004629629629629629,0.5584490740740741,0.4369212962962962,0.0,0.0,0.0
7,2585,0.019097222222222224,0.7465277777777778,0.23437500000000003,8e-05,6.000000000000001e-05,2e-05
8,4131,0.03835519547325103,0.7872460133744856,0.1743987911522634,8e-05,6.000000000000001e-05,2e-05
9,6602,0.058049875685871055,0.8353802297668038,0.10656989454732517,8e-05,6.000000000000001e-05,2e-05
10,10000,0.06824550968792867,0.8569405149748514,0.07481397533721995,0.0001,8e-05,2e-05
