iter,cumulative_budget,ratio_M,ratio_P,ratio_C,ratio_misclassified,ratio_mis_prune,ratio_mis_maintain
1,120,0.0,0.0,1.0,0.0,0.0,0.0
2,255,0.0,0.0,1.0,0.0,0.0,0.0
3,498,0.0,0.0,1.0,0.0,0.0,0.0
4,1007,0.0,0.0,1.0,0.0,0.0,0.0
5,2050,0.0,0.034722222222222224,0.9652777777777778,0.0,0.0,0.0
6,4069,0.0,0.034722222222222224,0.9652777777777778,0.0,0.0,0.0
7,8200,0.006944444444444444,0.12143132716049383,0.8716242283950614,0.0,0.0,0.0
8,15858,0.019675925925925927,0.3528645833333333,0.6274594907407413,0.0,0.0,0.0
9,20000,0.02228009259259259,0.4526588220164609,0.5250610853909469,0.0,0.0,0.0
