iter,cumulative_budget,ratio_M,ratio_P,ratio_C,ratio_misclassified,ratio_mis_prune,ratio_mis_maintain
1,386,0.0,0.0,1.0,0.0,0.0,0.0
2,774,0.0,0.0,1.0,0.0,0.0,0.0
3,1404,0.0,0.0,1.0,0.0,0.0,0.0
4,2516,0.0,0.0,0.9999999999999999,0.0,0.0,0.0
5,4460,0.0,0.0,0.9999999999999998,0.0,0.0,0.0
6,7836,0.0,0.0,1.0000000000000002,0.0,0.0,0.0
7,13708,0.0,0.0,1.0,0.0,0.0,0.0
8,23785,0.0,0.00390625,0.9960937499999997,0.0,0.0,0.0
9,40467,0.002572016460905349,0.010022826646090534,0.9874051568930108,0.0,0.0,0.0
10,67349,0.003872313671696387,0.025192365397805207,0.9709353209305007,6.000000000000001e-05,4e-05,2e-05
11,109510,0.012035935594802628,0.04982500464391862,0.9381390597612572,0.00034,0.00014000000000000001,0.0002
12,174344,0.01583672994303461,0.07792149366283721,0.9062417763940842,0.0005,0.00026000000000000003,0.00024000000000000003
13,275344,0.019562066815668987,0.1048496952246492,0.8755882379596807,0.00102,0.00054,0.00048000000000000007
14,400000,0.025469658855225136,0.15082229574376738,0.823708045401035,0.00196,0.00102,0.0009400000000000001
