iter,cumulative_budget,ratio_M,ratio_P,ratio_C,ratio_misclassified,ratio_mis_prune,ratio_mis_maintain
1,505,0.0,0.0,1.0,0.0,0.0,0.0
2,1087,0.0,0.0,1.0,0.0,0.0,0.0
3,2032,0.0,0.0,1.0,0.0,0.0,0.0
4,3700,0.0,0.0,1.0,0.0,0.0,0.0
5,6616,0.0,0.0,1.0000000000000002,0.0,0.0,0.0
6,11681,0.0,0.0,1.0000000000000007,0.0,0.0,0.0
7,20390,0.0,0.016878858024691357,0.9831211419753091,0.00014000000000000001,0.00014000000000000001,0.0
8,34721,0.0,0.06910686728395062,0.9308931327160495,0.00052,0.00052,0.0
9,56839,0.0,0.18770897633744854,0.812291023662553,0.001,0.001,0.0
10,89845,0.0,0.2998301397462278,0.700169860253779,0.00184,0.00184,0.0
11,139049,0.0005144032921810698,0.40138891865759774,0.5980966780502033,0.00284,0.00284,0.0
12,210373,0.0025419748720342432,0.5126494438808235,0.4848085812471291,0.00414,0.00414,0.0
13,314367,0.0045812348047278555,0.5858395588799927,0.40957920631524325,0.00558,0.00552,5.9999999999999995e-05
14,469690,0.00826006909493774,0.6446446257132799,0.3470953051918524,0.007719999999999999,0.007339999999999999,0.00038
