iter,cumulative_budget,ratio_M,ratio_P,ratio_C,ratio_misclassified,ratio_mis_prune,ratio_mis_maintain
1,540,0.0,0.0,1.0,0.0,0.0,0.0
2,1145,0.0,0.0,1.0,0.0,0.0,0.0
3,2239,0.0,0.0,1.0,0.0,0.0,0.0
4,4530,0.0,0.0,1.0,0.0,0.0,0.0
5,9345,0.0,0.0,1.0000000000000002,0.0,0.0,0.0
6,19466,0.0,0.0,1.0000000000000002,0.0,0.0,0.0
7,40934,0.0,0.028645833333333336,0.9713541666666669,0.00011999999999999999,0.00011999999999999999,0.0
8,85779,0.0,0.08101851851851853,0.9189814814814822,0.00035999999999999997,0.00035999999999999997,0.0
9,177959,0.0,0.1568045910493827,0.8431954089506183,0.00052,0.00052,0.0
10,365219,0.0002893518518518518,0.2486858603395063,0.7510247878086462,0.00098,0.00098,0.0
11,600000,0.00048225308641975295,0.345094280478395,0.654423466435168,0.0014399999999999999,0.0014399999999999999,0.0
