iter,cumulative_budget,ratio_M,ratio_P,ratio_C,ratio_misclassified,ratio_mis_prune,ratio_mis_maintain
1,505,0.0,0.0,1.0,0.0,0.0,0.0
2,1087,0.0,0.0,1.0,0.0,0.0,0.0
3,2032,0.0,0.0,1.0,0.0,0.0,0.0
4,3584,0.0,0.10416666666666667,0.8958333333333333,0.00026000000000000003,0.00026000000000000003,0.0
5,5904,0.0,0.2152777777777778,0.7847222222222223,0.00046,0.00046,0.0
6,9133,0.0,0.3663194444444445,0.6336805555555556,0.00048000000000000007,0.00048000000000000007,0.0
7,13737,0.0,0.4678819444444445,0.5321180555555555,0.0005200000000000001,0.0005200000000000001,0.0
8,20771,0.0,0.5241608796296297,0.47583912037037074,0.00062,0.00062,0.0
9,32024,0.0005787037037037038,0.5585214120370371,0.44089988425925974,0.0007400000000000001,0.0007400000000000001,0.0
10,49763,0.0005787037037037038,0.6111892539723366,0.38823204232396014,0.00084,0.00084,0.0
11,77851,0.0032305003048315813,0.6364133230452675,0.36035617664990083,0.0010400000000000001,0.0010400000000000001,0.0
12,118628,0.012128317821851343,0.7006774787610185,0.28719420341713237,0.00128,0.0012000000000000001,8e-05
13,177725,0.017657342842385137,0.7347765364722255,0.24756612068538764,0.00186,0.00158,0.00028000000000000003
14,200000,0.021684921693521132,0.7644485716278803,0.21386650667858786,0.00284,0.00232,0.0005200000000000001
