iter,cumulative_budget,ratio_M,ratio_P,ratio_C,ratio_misclassified,ratio_mis_prune,ratio_mis_maintain
1,80,0.0,0.0,1.0,0.0,0.0,0.0
2,200,0.0,0.0,1.0,0.0,0.0,0.0
3,400,0.0,0.25,0.75,0.0,0.0,0.0
4,750,0.0,0.25,0.7500000000000001,0.0,0.0,0.0
5,1368,0.0,0.5034722222222222,0.49652777777777773,0.0,0.0,0.0
6,2190,0.03356481481481482,0.6278935185185185,0.3385416666666665,0.0,0.0,0.0
7,3302,0.09182098765432099,0.6951195987654321,0.2130594135802468,0.0,0.0,0.0
8,4670,0.10548482510288068,0.7490837191358024,0.14543145576131666,0.0,0.0,0.0
9,6783,0.12855259773662556,0.7711923439643347,0.1002550582990397,0.0,0.0,0.0
